chunk_index,heading,page_num,chunk_text
93,"20
R. Koschke",81,"Kapser et al. [265, 264] ©[2003] IEEE 1. At ﬁrst level, distinguish clones within the same or across different ﬁles 2. then, according to type of region: • functions • declarations • macros • hybrids (in more than one of the above) • otherwise (among typedefs, variable declarations, function signa- tures) 3. then, degree of overlap or containment 4. then, according to type of code sequence: • initialization clones (ﬁrst ﬁve lines) • ﬁnalization clones (last ﬁve lines) • loop clones (60% overlap of bodies) • switch and if (60% overlap of branches) • multiple conditions: several switch and if statements • partial conditions: branches of switch/if are similar code to be factored out. Creating abstract generic solutions in advance often leads to unnecessarily ﬂexible and hence needlessly complicated solutions. Moreover, the exact variabilities may be difﬁcult to foresee. Hence, programmers tend to follow the idea of extreme programming in the small by not investing too much effort in speculative planning and anticipation. Systems are modularized based on principles such as information hiding, mini- mizing coupling, and maximizing cohesion. In the end—at least for systems written in ordinary programming languages—the system is composed of a ﬁxed set of mod- ules. Ideally, if the system needs to be changed, only a very small number of modules must be adjusted. Yet, there are very different change scenarios and it is not unlikely that the chosen modularization forces a change to be repeated for many modules. The triggers for such changes are called cross-cutting concerns (see also Chapter 9). For instance, logging is typically a feature that must be implemented by most modules. Another example is parameter checking in defensive programming where every func- tion must check its parameters before it fulﬁlls its purpose [92]. Then copy&paste dependencies reﬂect important underlying design decisions, namely, cross-cutting concerns."
94,"2 Identifying and Removing Software Clones
21",82,"also Chapter 9). For instance, logging is typically a feature that must be implemented by most modules. Another example is parameter checking in defensive programming where every func- tion must check its parameters before it fulﬁlls its purpose [92]. Then copy&paste dependencies reﬂect important underlying design decisions, namely, cross-cutting concerns. Another important root cause is that programmers often reuse the copied text as a template and then customize the template in the pasted context. Kapser et al. have investigated clones in large systems [266]. They found what they call patterns of cloning where cloning is consciously used as an implementation strategy. In their case study, they found the following cloning patterns: Forking is cloning used to bootstrap development of similar solutions, with the ex- pectation that evolution of the code will occur somewhat independently, at least in the short term. The assumption is that the copied code takes a separate evolu- 2 Identifying and Removing Software Clones 21 tion path independent of the original. In such a case, changes in the copy may be made that have no side effect on the original code. Templating is used as a method to directly copy behavior of existing code but appro- priate abstraction mechanisms are unavailable. It was also identiﬁed as a main driver for cloning in Kim and Notkin’s case study [277]. Templating is often found when a reused library has a relatively ﬁxed protocol (that is, a required order of using its interface items) which manifests as laying out the control ﬂow of the interface items as a ﬁxed pattern. For instance, the code in Fig. 2.1 uses a ﬁxed iteration scheme for variable iter. Customization occurs when currently existing code does not adequately meet a new set of requirements. The existing code is cloned and tailored to solve this new problem."
95,2.5 Consequences of Cloning,82,"of the interface items as a ﬁxed pattern. For instance, the code in Fig. 2.1 uses a ﬁxed iteration scheme for variable iter. Customization occurs when currently existing code does not adequately meet a new set of requirements. The existing code is cloned and tailored to solve this new problem. Very likely other more organizational aspects play a role, too. Time pressure, for in- stance, does not leave much time to search for the best long-term solution. Unavail- able information on the impact of code changes leads programmers to create copies in which they make the required enhancement; such changes then are less likely to af- fect the original code negatively. Inadequate performance measures of programmers’ productivity in the number of lines of code they produce neither invite programmers to avoid duplicates. 2.5 Consequences of Cloning There are plausible arguments that code cloning increases maintenance effort. Changes must be made consistently multiple times if the code is redundant. Often it is not documented where code has been copied. Manual search for copied code is infeasible for large systems and automated clone detection is not perfect when changes are made to the copies (see Section 2.8). Furthermore during analysis, the same code must be read over and over again, then compared to the other code just to ﬁnd out that this code has already been analyzed. Only if you make a detailed comparison, which can be difﬁcult if there are subtle differences in the code or its environment, you can be sure that the code is indeed the same. This comparison can be fairly expensive. If the code would have been implemented only once in a func- tion, this effort could have been avoided completely. For these reasons, code cloning is number one on the stink parade of bad smells by Beck and Fowler [183]. But there are also counter arguments. In Kapser and Godfrey’s study [266], code cloning is a purposeful implementation strategy which may make sense under certain circumstances (see Section 2.4)."
96,"22
R. Koschke",83,"completely. For these reasons, code cloning is number one on the stink parade of bad smells by Beck and Fowler [183]. But there are also counter arguments. In Kapser and Godfrey’s study [266], code cloning is a purposeful implementation strategy which may make sense under certain circumstances (see Section 2.4). Cordy makes a similar statement [128]. He argues that in the ﬁnancial domain, cloning is the way in which designs are reused. Data processing programs and records across an organization often have very similar purposes, and, consequently, the data structures and programs to carry out these tasks are therefore very similar. Cloning becomes then a standard practice when authoring a new program. Oppo- nents would argue that a better means would be to pursue systematic and organized reuse through software product lines. 22 R. Koschke Cordy also argues that the attempt to avoid cloning may lead to higher risks. Making changes to central data structures bears the risk to break existing applica- tions and requires to run expensive regression tests. Instead programmers tend to copy the data structure if they want to restructure or add a different view and make the necessary changes in the copy. Even the argument that errors must be ﬁxed in every copy does not count, he states. Errors would not necessarily be ﬁxed in the original data structure because the many running applications may already rely on these errors, Cordy argues. On the other hand, repeated work, need for data migra- tion, and risk of inconsistency of data are the price that needs to be paid following this strategy. The Y2K problem has shown how expensive and difﬁcult it is to rem- edy systems that have suffered from massive decentralized use of data structures and algorithms. While it is difﬁcult to ﬁnd arguments for type-1 and type-2 clones, one can more easily argue in favor of type-3 clones. It is not clear when you have type-3 clones whether the unifying solution would be easier to maintain than several copies with small changes. Generic solutions can become overly complicated. Maintainability can only be deﬁned in a certain context with controlled parameters. That is, a less sophisticated programmer may be better off maintaining copied code than a highly parameterized piece of code. Moreover, there is a risk associated with removing code clones [128]. The removal requires deep semantic analyses and it is difﬁcult to make any guarantees that the removal does not introduce errors. There may be even orga- nizational reasons to copy code. Code cloning could, for instance, be used to disen- tangle development units [128]."
97,"22
R. Koschke",83,"associated with removing code clones [128]. The removal requires deep semantic analyses and it is difﬁcult to make any guarantees that the removal does not introduce errors. There may be even orga- nizational reasons to copy code. Code cloning could, for instance, be used to disen- tangle development units [128]. The current debate lacks empirical studies on the costs and beneﬁts of code cloning. There are very few empirical studies that explore the interrelationship of code cloning and maintainability. All of them focus on code cloning and errors as one (out of many) maintainability aspect. Monden et al. [374] analyzed a large system consisting of about 2,000 modules written in 1 MLOC lines of Cobol code over a period of 20 years. They used a token- based clone detector (cf. Section 2.8.2) to ﬁnd clones that were at least 30 lines long. They searched for correlations of maximal clone length with change frequency and number of errors. They found that most errors were reported for modules with clones of at least 200 lines. They also found many errors—although less than in those with longer clones—in modules with shorter clones up to 50 lines. Yet, interestingly enough, they found the lowest error rate for modules with clones of 50 to 100 lines. Monden et al. have not further analyzed why these maintainability factors correlate in such a way with code cloning. Chou et al. [113] investigated the hypothesis that if a function, ﬁle, or directory has one error, it is more likely that is has others. They found in their analysis of the Linux and OpenBSD kernels that this phenomenon can be observed most often where programmer ignorance of interface or system rules combines with copy-and-paste. They explain the correlation of bugs and copy-and-paste primarily by programmer ignorance, but they also note that—in addition to ignorance—the prevalence of copy- and-paste error clustering among different device drivers and versions suggests that programmersbelieve that “working” code is correct code. They note that if the copied"
98,2.6 Clone Evolution,84,"combines with copy-and-paste. They explain the correlation of bugs and copy-and-paste primarily by programmer ignorance, but they also note that—in addition to ignorance—the prevalence of copy- and-paste error clustering among different device drivers and versions suggests that programmersbelieve that “working” code is correct code. They note that if the copied 2 Identifying and Removing Software Clones 23 code is incorrect, or it is placed into a context it was not intended for, the assumption of goodness is violated. Li et al. [328] use clone detection to ﬁnd bugs when programmers copy code but rename identiﬁers in the pasted code inconsistently. On average, 13% of the clones ﬂagged as copy-and-paste bugs by their technique turned out to be real errors for the systems Linux kernel, FreeBSD, Apache, and PostgreSQL. The false positive rate of their technique is 73% on average, where on average 14% of the potential problems are still under analysis by the developers of the analyzed systems. 2.6 Clone Evolution There are a few empirical studies on the evolution of clones, which describe some interesting observations. Antoniol et al. propose time series derived from clones over several releases of a system to monitor and predict the evolution of clones [14]. Their study for the data base system mSQL showed that their prediction of the average number of clones per function is fairly reliable. In another case study for the Linux kernel, they found that the scope of cloning is limited [15]. Only few clones can be found across subsystems; most clones are completely contained within a subsystem. In the subsystem arch, constituting the hardware architecture abstraction layer, newer hardware architectures tend to exhibit slightly higher clone rates. The explanation for this phenomenon is that newer modules are often derived from existing similar ones. The relative number of clones seems to be rather stable, that is, cloning does not occur in peaks. This last result was also reported by Godfrey and Tu who noticed that cloning is common and steady practice in the Linux kernel [205]. However, the cloning rate does increase steadily over time. Li et al. [328] observed for the Linux kernel in the period of 1994 to 2004 that the redundancy rate has increased from about 17% to about 22%. They observed a similar behavior for FreeBSD. Most of the growth of redundancy rate comes from a few modules, including drivers and arch in Linux and sys in FreeBSD. The percentage of copy-paste code increases more rapidly in those modules than in the entire software suite. They explain this observation by the fact that Linux supports more and more similar device drivers during this period."
99,"24
R. Koschke",85,"from a few modules, including drivers and arch in Linux and sys in FreeBSD. The percentage of copy-paste code increases more rapidly in those modules than in the entire software suite. They explain this observation by the fact that Linux supports more and more similar device drivers during this period. Kim et al. analyzed the clone genealogy for two open-source Java systems us- ing historical data from a version control system [278]. A clone genealogy forms a tree that shows how clones derive in time over multiple versions of a program from common ancestors. Beyond that, the genealogy contains information about the differences among siblings. Their study showed that many code clones exist in the system for only a short time. Kim et al. conclude that extensive refactoring of such short-lived clones may not be worthwhile if they likely diverge from one another very soon. Moreover, many clones, in particular those with a long lifetime that have changed consistently with other elements in the same group cannot easily be avoided because of limitations of the programming language. One subproblem in clone evolution research is to track clones between versions. Duala-Ekoko and Robillard use a clone region descriptor [155] to discover a clone 24 R. Koschke of version n in version n + 1. A clone region descriptor is an approximate location that is independent from speciﬁcations based on lines of source code, annotations, or other similarly fragile markers. Clone region descriptors capture the syntactic block nesting of code fragments. A block therein is characterized by its type (e.g., for or while), a string describing a distinguishing identiﬁer for the block (the anchor), and a corroboration metric. The anchor of a loop, for instance, is the condition as string. If two fragments are syntactic siblings, their nesting and anchor are not sufﬁ- cient to distinguish them. In such cases, the corroboration metric is used. It measures characteristics of the block such as cyclomatic complexity and fan-out of the block."
100,2.7.1 Corrective Clone Management: Clone Removal,85,"of a loop, for instance, is the condition as string. If two fragments are syntactic siblings, their nesting and anchor are not sufﬁ- cient to distinguish them. In such cases, the corroboration metric is used. It measures characteristics of the block such as cyclomatic complexity and fan-out of the block. 2.7 Clone Management Clone management aims at identifying and organizing existing clones, controlling growth and dispersal of clones, and avoiding clones altogether. Lague et al. [303] and Giesecke [199] distinguish three main lines of clone management: • preventive clone management (also known as preventive control [303]) com- prises activities to avoid new clones • compensative clone management (also known as problem mining [303]) encom- passes activities aimed at limiting the negative impact of existing clones that are to be left in the system • corrective clone management covers activities to remove clones from a system This section describes research in these three areas. 2.7.1 Corrective Clone Management: Clone Removal If you do want to remove clones, there are several way to do so. There are even commercial tools such as CloneDr1 by Semantic Designs to automatically detect and remove clones. Cloning and automatic abstraction and removal could even be a suitable implementation approach as hinted by Ira Baxter: Cloning can be a good strategy if you have the right tools in place. Let programmers copy and adjust, and then let tools factor out the differences with appropriate mechanisms. —Ira Baxter, 2002 In simple cases, you can use functional abstraction to replace equivalent copied code by a function call to a newly created function that encapsulates the copied code [166, 287]. In more difﬁcult cases, when the difference is not just in the variable names that occur in the copied code, one may be able to replace by macros if the programming languages comes with a preprocessor. A preprocessor offers textual transformations to handle more complicated replacements. If a preprocessor is avail- able, one can also use conditional compilation. As the excessive use of macros and"
101,2.7.2 Preventive and Compensative Clone Management,86,"occur in the copied code, one may be able to replace by macros if the programming languages comes with a preprocessor. A preprocessor offers textual transformations to handle more complicated replacements. If a preprocessor is avail- able, one can also use conditional compilation. As the excessive use of macros and 1 Trademark of Semantic Designs, Inc. 2 Identifying and Removing Software Clones 25 conditional compilation may introduce many new problems, the solution to the re- dundancy problem may be found at the design level. The use of design patterns is an option to avoid clones by better design [31, 32]. Yet, this approach requires much more human expertise and, hence, can be less automated. Last but not least, one can develop code generators for highly repetitive code. In all approaches, it is a challenge to cut out the right abstractions and to come up with meaningful names of generated functions or macros. Moreover, it is usually dif- ﬁcult to check the preconditions for these proposed transformations—be they manual or automated–in order to assure that the transformation is semantic preserving. 2.7.2 Preventive and Compensative Clone Management Rather than removing clones after the offense, it may be better to avoid them right from the beginning by integrating clone detection in the normal developmentprocess. Lague et al. identify two ways to integrate clone detection in normal development [303]. It can be used as preventive control where the code is checked continuously—for instance, at each check-in in the version control system or even on the ﬂy while the code is edited—and the addition of a clone is reported for conﬁrmation. A complementary integration is problem mining where the code currently under modiﬁcation is searched in the rest of the system. The found segments of code can then be checked whether the change must be repeated in this segment for consistency."
102,2.7.2 Preventive and Compensative Clone Management,86,"edited—and the addition of a clone is reported for conﬁrmation. A complementary integration is problem mining where the code currently under modiﬁcation is searched in the rest of the system. The found segments of code can then be checked whether the change must be repeated in this segment for consistency. Preventive control aims at avoiding code clones when they occur ﬁrst whereas problem mining addresses circumstances in which cloning has been used for a while. Lague et al. assessed the beneﬁts of integrating clone detection in normal de- velopment by analyzing the three-year version history of a very large procedural telecommunication system [303]. In total, 89 millions of non-blank lines (including comments) were analyzed, for an average size of 14.83 million lines per version. The average number of functions per release was 187,000. Problem mining is assessed by the number of functions changed that have clones that were not changed; that is, how often a modiﬁcation was missed potentially. Pre- ventive control is assessed by the number of functions added that were similar to existing functions; that is, the code that could have been saved. It is interesting to note, that—contrary to their expectations—they observed a low rate of growth in the number of overall clones in the system, due to the fact that many clones were actually removed from the system. They conclude from their data that preventive control would help to lower the number of clones. Many clones disappeared only long after the day they came into existence. Early detection of clones could lead to taking this measure earlier. They also found that problem mining could have provided programmers with a signiﬁcant number of opportunities for correcting problems before end-user expe- rienced them. The study indicates a potential for improving the software quality and customer satisfaction through an effective clone management strategy."
103,2.8 Clone Detection,87,"could lead to taking this measure earlier. They also found that problem mining could have provided programmers with a signiﬁcant number of opportunities for correcting problems before end-user expe- rienced them. The study indicates a potential for improving the software quality and customer satisfaction through an effective clone management strategy. An alternative to clone removal is to live with clones consciously. Clones can be managed, linked, and changed simultaneously using linked editing as proposed 26 R. Koschke by Toomim et al. [504]. Linked editing is also used by Duala-Ekoko and Robillard. Linked editing allows one to link two or more code clones persistently. The differ- ences and similarities are then analyzed, visualized, and recorded. If a change needs to be made, linked editing allows programmers to modify all linked elements si- multaneously, or particular elements individually. That is, linked editing allows the programmer to edit all instances of a given clone at once, as if they were a single block of code. It overcomes some of the problems of duplicated code, namely, ver- bosity, tedious editing, lost clones, and unobservable consistency without requiring extra work from the programmer. 2.8 Clone Detection While there is an ongoing debate as to whether remove clones, there is a consensus about the importance to at least detect them. Clone avoidance during normal devel- opment, as described in the previous section, as well as making sure that a change can be made consistently in the presence of clones requires to know where the clones are. Manual clone detection is infeasible for large systems, hence, automatic support is necessary. Automated software clone detection is an active ﬁeld of research. This section summarizes the research in this area. The techniques can be distinguished at the ﬁrst level in the type of information their analysis is based on and at the second level in the used algorithm."
104,2.8.2 Token Comparison,88,"automatic support is necessary. Automated software clone detection is an active ﬁeld of research. This section summarizes the research in this area. The techniques can be distinguished at the ﬁrst level in the type of information their analysis is based on and at the second level in the used algorithm. 2.8.1 Textual Comparison The approach by Rieger et al. compares whole lines to each other textually [156]. To increase performance, lines are partitioned using a hash function for strings. Only lines in the same partition are compared. The result is visualized as a dotplot, where each dot indicates a pair of cloned lines. Clones may be found as certain patterns in those dotplots visually. Consecutive lines can be summarized to larger cloned se- quences automatically as uninterrupted diagonals or displaced diagonals in the dot- plot. Johnson [258, 259] uses the efﬁcient string matching by Karp and Rabin [268, 269] based on ﬁngerprints, that is, a hash code characterizing a string is used in the search. Marcus et al. [345] compare only certain pieces of text, namely, identiﬁers using latent semantic indexing, a technique from information retrieval. Latent semantic analysis is a technique in natural language processing analyzing relationships be- tween a set of documents and the terms they contain by producing a set of concepts related to the documents and terms. The idea here is to identify fragments in which similar names occur as potential clones. 2 Identifying and Removing Software Clones 27 2.8.2 Token Comparison Baker’s technique is also a line-based comparison. Instead of a string comparison, the token sequences of lines are compared efﬁciently through a sufﬁx tree. A sufﬁx tree for a string S is a tree whose edges are labeled with substrings of S such that each sufﬁx of S corresponds to exactly one path from the tree’s root to a leaf."
105,2.8.2 Token Comparison,88,"string comparison, the token sequences of lines are compared efﬁciently through a sufﬁx tree. A sufﬁx tree for a string S is a tree whose edges are labeled with substrings of S such that each sufﬁx of S corresponds to exactly one path from the tree’s root to a leaf. First, Baker’s technique summarizes each token sequence for a whole line by a so called functor that abstracts of concrete values of identiﬁers and literals [29]. The functor characterizes this token sequence uniquely. Assigning functors can be viewed as a perfect hash function. Concrete values of identiﬁers and literals are captured as parameters to this functor. An encoding of these parameters abstracts from their concrete values but not from their order so that code fragments may be detected that differ only in systematic renaming of parameters. Two lines are clones if they match in their functors and parameter encoding. The functors and their parameters are summarized in a sufﬁx tree, a tree that represents all sufﬁxes of the program in a compact fashion. A sufﬁx tree can be built in time and space linear to the input length [356, 30]. Every branch in the sufﬁx tree represents program sufﬁxes with common beginnings, hence, cloned sequences. Kamiya et al. increase recall for superﬁcially different, yet equivalent sequences by normalizing the token sequences [263]. For instance, each single statement after the lexical patterns if(...), for(...), while(...), and do and else in C++ is transformed to a compound block; e.g., if (a) b = 2; is transformed to if (a) {b = 2;}. Using this normalization, the if statement can be matched with the equiv- alent (with parameter replacement) code if (x) {y = 2;}. Because syntax is not taken into account, the found clones may overlap different syntactic units, which cannot be replaced through functional abstraction. Either in a preprocessing [485, 127, 204] or post-processing [234] step, clones that completely fall in syntactic blocks can be found if block delimiters are known. Preprocessing and postprocessing both require some syntactic information—gatheredeither lightweight by counting tokens opening and closing syntactic scopes or island grammars [377] or a full-ﬂedged syntax analysis [204]."
106,"28
R. Koschke",89,"preprocessing [485, 127, 204] or post-processing [234] step, clones that completely fall in syntactic blocks can be found if block delimiters are known. Preprocessing and postprocessing both require some syntactic information—gatheredeither lightweight by counting tokens opening and closing syntactic scopes or island grammars [377] or a full-ﬂedged syntax analysis [204]. 2.8.3 Metric Comparison Merlo et al. gather different metrics for code fragments and compare these metric vectors instead of comparing code directly [303, 291, 353, 289]. An allowable dis- tance (for instance, Euclidean distance) for these metric vectors can be used as a hint for similar code. Speciﬁc metric-based techniques were also proposed for clones in web sites [151, 307]. 2.8.4 Comparison of Abstract Syntax Trees Baxter et al. partition subtrees of the abstract syntax tree (AST) of a program based on a hash function and then compare subtrees in the same partition through tree matching (allowing for some divergences) [47]. A similar approach was proposed 28 R. Koschke earlier by Yang [557] using dynamic programming to ﬁnd differences between two versions of the same ﬁle. Sufﬁx trees—central to token-based techniques following Baker’s idea—can also be used to detect sequences of identical AST nodes. In the approach by Koschke et al. [294], the AST nodes are serialized in preorder traversal, a sufﬁx tree is created for these serialized AST nodes, and the resulting maximally long AST node sequences are then cut according to their syntactic region so that only syntactically closed se- quences remain. The idea of metrics to characterize code and to use these metrics to decide which code segments to compare can be adopted for ASTs as well. Jian et al. [257] char- acterize subtrees with numerical vectors in the Euclidean space ℜand an efﬁcient algorithm to cluster these vectors with respect to the Euclidean distance metric. Sub- trees with vectors in one cluster are potential clones."
107,2.8.6 Other Techniques,89,"code segments to compare can be adopted for ASTs as well. Jian et al. [257] char- acterize subtrees with numerical vectors in the Euclidean space ℜand an efﬁcient algorithm to cluster these vectors with respect to the Euclidean distance metric. Sub- trees with vectors in one cluster are potential clones. 2.8.5 Comparison of Program Dependency Graphs Textual as well as token-based techniques and syntax-based techniques depend upon the textual order of the program. If the textual order is changed, the copied code will not be found. Programmers modify the order of the statements in copied code, for instance, to camouﬂage plagiarism. Or they use code cloning as in the templating implementation strategy (see Section 2.4), where the basic skeleton of an algorithm is reused and then certain pieces are adjusted to the new context. Yet, the order cannot be changed arbitrarily without changing the meaning of the program. All control and data dependencies must be maintained. A program depen- dency graph [175] is a representation of a program that represents only the control and data dependency among statements. This way program dependency graph ab- stract from the textual order. Clones may then be identiﬁed as isomorphic subgraphs in a program dependency graph [298, 286]. Because this problem is NP hard, the algorithms use approximative solutions. 2.8.6 Other Techniques Leitao [324] combines syntactic and semantic techniques through a combination of specialized comparison functions that compare various aspects (similar call sub- graphs, commutative operators, user-deﬁned equivalences, transformations into canonical syntactic forms). Each comparison function yields an evidence that is sum- marized in an evidence-factor model yielding a clone likelihood. Walter et al. [531] and Li et al. [327] cast the search for similar fragments as a data mining problem. Statement sequences are summarized to item sets. An adapted data mining algorithm searches for frequent item sets."
108,"2 Identifying and Removing Software Clones
29",90,"evidence that is sum- marized in an evidence-factor model yielding a clone likelihood. Walter et al. [531] and Li et al. [327] cast the search for similar fragments as a data mining problem. Statement sequences are summarized to item sets. An adapted data mining algorithm searches for frequent item sets. 2.9 Comparison of Clone Detection Algorithms The abundance of clone detection techniques calls for a thorough comparison so that we know the strength and weaknesses of these techniques in order to make an 2 Identifying and Removing Software Clones 29 informed decision if we need to select a clone detection technique for a particular purpose. Clone detectors can be compared in terms of recall and precision of their ﬁndings as well as suitability for a particular purpose. There are several evaluations along these lines based on qualitative and quantitative data. Bailey and Burd compared three clone and two plagiarism detectors [27]. Among the clone detectors were three of the techniques later evaluated by a subsequent study by Bellon and Koschke [55], namely, the techniques by Kamiya [263], Baxter [47], and Merlo [353]. For the latter technique, Bailey used an own re-implementation; the other tools were original. The plagiarism detectors were JPlag [420] and Moss [452]. The clone candidates of the techniques were validated by Bailey, and the accepted clone pairs formed an oracle against which the clone candidates were compared. Several metrics were proposed to measure various aspects of the found clones, such as scope (i.e., within the same ﬁle or across ﬁle boundaries), and the ﬁndings in terms of recall and precision. The syntax-based technique by Baxter had the highest precision (100%) and the lowest recall (9%) in this experiment. Kamiya’s technique had the highest recall and a precision comparable to the other techniques (72%). The re-implementation of Merlo’s metric-based technique showed the least precision (63%)."
109,"30
R. Koschke",91,"in terms of recall and precision. The syntax-based technique by Baxter had the highest precision (100%) and the lowest recall (9%) in this experiment. Kamiya’s technique had the highest recall and a precision comparable to the other techniques (72%). The re-implementation of Merlo’s metric-based technique showed the least precision (63%). Although the case study by Bailey and Burd showed interesting initial results, it was conducted on only one relatively small system (16 KLOC). However, because the size was limited, Bailey was able to validate all clone candidates. A subsequent larger study was conducted by Bellon and Koschke [54, 55]. Their likewise quantitative comparison of clone detectors was conducted for 4 Java and 4 C systems in the range of totaling almost 850 KLOC. The participants and their clone detectors evaluated are listed in Table 2.3. Table 2.4 summarizes the ﬁndings of Bellon and Koschke’s study. Row clone type lists the type of clones the respective clone detector ﬁnds (for clone types, see Section 2.3). The next two rows qualify the tools in terms of their time and space consumption. The data is reported at an ordinal scale −−, −, +, + + where −−is worst (the exact measures can be found in the paper to this study [54, 55]). Recall and precision are determined as in Bailey and Burd’s study by comparing the clone Table 2.3. Participating scientists Participant Tool Comparison Brenda S. Baker [29] Dup Token Ira D. Baxter [47] CloneDr AST Toshihiro Kamiya [263] CCFinder Token Jens Krinke [298] Duplix PDG Ettore Merlo [353] CLAN Function Metrics Matthias Rieger [156] Duploc Text 30 R. Koschke Table 2.4. Results from the Bellon and Koschke study. Adapted from [54, 55] ©[2007] IEEE Baker Baxter Kamiya Krinke Merlo Rieger Clone type 1, 2 1, 2 1, 2, 3 3 1, 2, 3 1, 2, 3 Speed + + − + −− + + ? RAM + − + + + + ? Recall + − + − − + Precision − + − − + −"
110,"30
R. Koschke",91,"Krinke Merlo Rieger Clone type 1, 2 1, 2 1, 2, 3 3 1, 2, 3 1, 2, 3 Speed + + − + −− + + ? RAM + − + + + + ? Recall + − + − − + Precision − + − − + − detectors’ ﬁndings to a human oracle. The same ordinal scale is used to qualify the results; exact data are reported in the paper [54, 55]. Interestingly, Merlo’s tool performed much better in this experiment than in the experiment by Bailey and Burd. However, the difference in precision of Merlo’s approach in this comparison to the study by Bailey and Burd can be explained by the fact that Merlo compared not only metrics but also the tokens and their textual images to identify type-1 and type-2 clones in the study by Bellon and Koschke. While the Bailey/Burd and Bellon/Koschke studies focus on quantitative eval- uation of clone detectors, other authors have evaluated clone detectors for the ﬁt- ness for a particular maintenance task. Rysselberghe and Demeyer [525] compared text-based [156, 438], token-based [29], and metric-based [353] clone detectors for refactoring. They compare these techniques in terms of suitability (can a candidate be manipulated by a refactoring tool?), relevance (is there a priority which of the matches should be refactored ﬁrst?), conﬁdence (can one solely rely on the results of the code cloning tool, or is manual inspection necessary?), and focus (does one have to concentrate on a single class or is it also possible to assess an entire project?). They assess these criteria qualitatively based on the clone candidates produced by the tools. Figure 2.2 summarizes their conclusions. Bruntink et al. use clone detection to ﬁnd cross-cutting concerns in C programs with homogeneous implementations [93]. In their case study, they used CCFinder— Kamiya’s [263] tool evaluated in other case studies, too—one of the Bauhaus2"
111,2.10 Clone Presentation,92,"based on the clone candidates produced by the tools. Figure 2.2 summarizes their conclusions. Bruntink et al. use clone detection to ﬁnd cross-cutting concerns in C programs with homogeneous implementations [93]. In their case study, they used CCFinder— Kamiya’s [263] tool evaluated in other case studies, too—one of the Bauhaus2 clone detectors, namely ccdiml, which is a variation of Baxter’s technique [47], and the PDG-based detector PDG-DUP by Komondoor [286]. The cross-cutting con- cerns they looked for were error handling, tracing, pre and post condition checking, and memory error handling. The study showed that the clone classes obtained by Bauhaus’ ccdiml can provide the best match with the range checking, null-pointer criterion most suitable technique suitability metric-based relevance no difference conﬁdence text-based focus no difference Fig. 2.2. Assessment by Rysselberghe and Demeyer. Adapted from [525] ©[2004] IEEE 2 http://www.axivion.com. 2 Identifying and Removing Software Clones 31 checking, and error handling concerns. Null-pointer checking and error handling can be found by CCFinder almost equally well. Tracing and memory error handling can best be found by PDG-DUP. 2.10 Clone Presentation Because there is typically a huge amount of clones in large systems and these clones differ in various attributes (type, degree of similarity, length, etc.), presentation issues of clone information are critical. This huge information space must be made accessi- ble to a human analyst. The analyst needs a holistic view that combines source code views and architectural views. There have been several proposals for clone visualization. Scatter plots—also known as dot plots—are two-dimensional charts where all software units are listed on both axes [114, 156, 512] (cf. Fig. 2.3). There is a dot if two software units are similar. The granularity of software units may differ. It can range from single lines to functions to classes and ﬁles to packages and subsystems. Visual patterns of cloning may be observed by a human analyst. A problem with this approach is scalability for many software units and the order of the listed software units as this has an impact on the visual patterns. While there is a “natural” order for lines (i.e., lexical order) within a ﬁle, it is not clear how to order more coarse-grained units such as functions, ﬁles, and packages. Lexical order of their names is in most cases as arbitrary as random order."
112,"32
R. Koschke",93,"an impact on the visual patterns. While there is a “natural” order for lines (i.e., lexical order) within a ﬁle, it is not clear how to order more coarse-grained units such as functions, ﬁles, and packages. Lexical order of their names is in most cases as arbitrary as random order. Johnson [260] proposes Hasse diagrams for clone representation between sets of ﬁles so that one can better see whether code has been copied between ﬁles, which is possibly more critical than cloning within a ﬁle (cf. Fig. 2.4). A Hasse diagram (named after a German mathematician) is used to draw a partial order among sets as an acyclic graph. Directed arcs connect nodes that are related by the order relation and for which no other directed path exists. (a) Three clones (b) Three clones, one modiﬁed line Fig. 2.3. Dot plots [114, 156, 512] 32 R. Koschke Fig. 2.4. Hasse diagram adapted from [260] In Johnson’s context, each match of a block of text identiﬁes a range of characters (or lines) from two (or more) ﬁles. For each subset of ﬁles, one can total the number of characters that the matching process has discovered to match between the given set of ﬁles. A subset of ﬁles forms a node, if the ﬁles have non-zero matches. The inclusion between subsets of ﬁles yields the edges. Rieger et al. [437] propose to use Michele Lanza’s polymetric views[309] to visualize various aspects of clones in one view (cf. Fig. 2.5). A polymetric view is again based on the graph metaphor and representation where a node represents a software unit and an edge a cloning relation. Visually, additional information can be attached to the graph by the degrees of freedom for the position (X/Y in the two-dimensional space), color of nodes and edges, thickness of edges, breadth and width of nodes. Rieger et al. propose a ﬁxed set of metric combinations to be mapped onto graphical aspects to present the clone information from different perspective for different tasks."
